Name,RU_kwai
Type,Campaign
Frequency,One time
Date range,Custom date range
Dates,"Aug 1, 2017-Aug 29, 2017"
Account,Day,Campaign,Campaign ID,Conversions,All conv.,Cost
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_U1,874062615,76.0,151.0,37.83
Kwai_Pro_EliAds,2017-08-06,Kwai_RU_D1,874401731,0.0,0.0,0.18
Kwai_Pro_EliAds,2017-08-07,Kwai_RU_D1,874401731,1.0,3.0,0.12
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_U1,874062615,130.0,289.0,63.53
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_D1,874401731,0.0,0.0,0.22
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_D1,874401731,1.0,2.0,0.47
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_U1,874062615,369.0,682.0,166.34
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_U1,874062615,132.0,254.0,82.44
Kwai_Pro_EliAds,2017-08-26,Kwai_RU_U1,874062615,119.0,266.0,59.00
Kwai_Pro_EliAds,2017-08-04,Kwai_RU_D1,874401731,0.0,2.0,0.82
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_U1,874062615,52.0,113.0,39.72
Kwai_Pro_EliAds,2017-08-13,Kwai_RU_D1,874401731,0.0,0.0,0.21
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_D1,874401731,0.0,0.0,0.04
Kwai_Pro_EliAds,2017-08-16,Kwai_RU_U1,874062615,213.0,425.0,119.20
Kwai_Pro_EliAds,2017-08-15,Kwai_RU_D1,874401731,0.0,0.0,0.08
Kwai_Pro_EliAds,2017-08-20,Kwai_RU_D1,874401731,0.0,0.0,0.04
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_U1,874062615,95.0,196.0,88.80
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_U1,874062615,30.0,65.0,13.94
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_U1,874062615,67.0,153.0,24.27
Kwai_Pro_EliAds,2017-08-02,Kwai_RU_D1,874401731,0.0,1.0,0.72
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_D1,874401731,0.0,0.0,0.60
Kwai_Pro_EliAds,2017-08-10,Kwai_RU_D1,874401731,0.0,0.0,0.06
Kwai_Pro_EliAds,2017-08-22,Kwai_RU_D1,874401731,0.0,1.0,0.13
Kwai_Pro_EliAds,2017-08-29,Kwai_RU_U1,874062615,158.0,340.0,58.39
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_D1,874401731,0.0,0.0,0.25
Kwai_Pro_EliAds,2017-08-05,Kwai_RU_U1,874062615,192.0,370.0,133.84
Kwai_Pro_EliAds,2017-08-18,Kwai_RU_D1,874401731,0.0,0.0,0.23
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_D1,874401731,0.0,0.0,0.09
Kwai_Pro_EliAds,2017-08-24,Kwai_RU_D1,874401731,0.0,0.0,0.08
Kwai_Pro_EliAds,2017-08-08,Kwai_RU_U1,874062615,"1,517.0","2,806.0","1,136.05"
Kwai_Pro_EliAds,2017-08-11,Kwai_RU_U1,874062615,375.0,677.0,240.03
Kwai_Pro_EliAds,2017-08-21,Kwai_RU_U1,874062615,66.0,150.0,38.36
Kwai_Pro_EliAds,2017-08-14,Kwai_RU_U1,874062615,309.0,614.0,174.80
Kwai_Pro_EliAds,2017-08-12,Kwai_RU_U1,874062615,189.0,364.0,105.70
Kwai_Pro_EliAds,2017-08-01,Kwai_RU_D1,874401731,0.0,0.0,1.62
Kwai_Pro_EliAds,2017-08-27,Kwai_RU_D1,874401731,1.0,2.0,0.76
Kwai_Pro_EliAds,2017-08-09,Kwai_RU_U1,874062615,715.0,"1,334.0",520.75
Total, --, --, --, --, --,"5,937.39"
